date,tokenFees,tokenRevenue,pons,treasuryLPIncome,treasuryDividends,treasuryRevenue,treasuryDividendRawMU
2026-09-02,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2026-09-03,137606.97473034248,128073.00419475295,9533.97053558955,1404.1799850557334,6502.5887121586275,7906.768697214361,6827273329763921094
2026-09-04,123017.1337803432,114494.00672858735,8523.12705175588,6049.157281433168,2999.366910308633,9048.5241917418,3065924022984720055
2026-09-05,142112.4821144914,132266.35171394935,9846.13040054213,55220.25785070662,5358.866707317384,60579.12455802401,5278085607100706828
2026-09-06,87945.63680572591,81852.40561826222,6093.231187463688,20336.386232569257,2491.488383160851,22827.874615730107,2453930969670050256
2026-09-07,26799.396586696526,24942.625460597457,1856.7711260990668,15930.400679589757,969.5407876572297,16899.941467246987,951144600212024313
